timestamp,x,y,z
1509765515933141,1.1875,2.0625,4.6875
1509765515958137,0.0625,2.375,4.4375
1509765515978673,0.6875,1.4375,3.3125
1509765515993412,1.9375,0.9375,2.3125
1509765516015428,3.875,1.25,1.625
1509765516030465,4.3125,1.4375,1.9375
1509765516053456,2.625,1.8125,1.875
1509765516075986,2.625,1.0625,-0.8125
1509765516090604,0.6875,0.375,-1.8125
1509765516113638,-1.4375,0.5,-1.8125
1509765516130698,0.5625,0.5625,-1.9375
1509765516151715,1,0.75,-1.875
1509765516173235,1.1875,0.9375,-2
1509765516191257,0,0.3125,-2.375
1509765516210267,0.125,0.375,-3.375
1509765516233303,0.0625,0.125,-4.5625
1509765516251296,0.0625,0,-4.4375
1509765516270834,0.375,-1.3125,-6.375
1509765516293174,-0.4375,-1.9375,-7.125
1509765516318194,-0.0625,-2.1875,-5.875
1509765516331192,0.25,0.25,-4.4375
1509765516353227,3.125,0.5,-4.1875
1509765516371245,1.375,0.8125,-3.5625
1509765516391166,-1.5,0.8125,-3.25
1509765516416184,-1.875,-0.375,-2.6875
1509765516431198,0,-0.1875,-2.8125
1509765516452214,3.25,-0.125,-2.375
1509765516473255,2.4375,-0.0625,-1.8125
1509765516491278,2.0625,-0.0625,-1.625
1509765516512319,1.4375,-0.4375,-0.875
1509765516533306,0.375,-0.25,-1.8125
1509765516551335,0.6875,-0.25,-1.6875
1509765516578397,0.8125,-0.3125,-0.9375
1509765516592932,0.5,-1.4375,-0.25
1509765516610942,0.25,-1.5,0.0625
1509765516637964,2.125,-1.125,0.125
1509765516652987,3.9375,-0.75,-0.0625
1509765516671502,3.375,-1,-0.25
1509765516698083,4.4375,-1.4375,-0.4375
1509765516713086,3.25,-1,0.125
1509765516731095,2.125,-1,0.375
1509765516752110,2.3125,-1.5625,0
1509765516773660,1.1875,-0.5,-0.25
1509765516790731,1.1875,-0.5625,-0.875
1509765516813743,0.8125,-0.4375,-1
1509765516832775,1.1875,-0.5,-0.9375
1509765516850769,2.375,-0.9375,-0.4375
1509765516873790,1.5625,-1.0625,-0.0625
1509765516892805,2.75,-1.3125,-0.5625
1509765516910817,2.6875,-0.875,-1.375
1509765516933836,2.5625,-1.1875,-0.6875
1509765516952903,2.8125,-1.4375,-0.75
1509765516971373,3.5625,-1.4375,-0.25
1509765516993460,3.4375,-1.25,0
1509765517013492,3.75,-0.1875,-0.125
1509765517031506,6.125,-1.1875,-0.5625
